epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8799,1.90468,2.82842,1.71359,0.41217,0.33871,0.26746,0.14291,1.8443,5.40288,1.43733,0.00024,0.00024,0.00024
2,25.5834,1.24767,1.36473,1.19014,0.45989,0.43953,0.40906,0.21012,1.78597,2.14176,1.69054,0.00049505,0.00049505,0.00049505
3,34.4234,1.21809,1.2518,1.21415,0.00268,0.08065,0.00133,0.00044,3.88237,inf,22.5559,0.000744952,0.000744952,0.000744952
4,42.8038,1.40218,1.32211,1.33551,0,0,0,0,nan,nan,nan,0.000989706,0.000989706,0.000989706
5,50.8785,1.38885,1.29706,1.30357,0.00178,0.04839,0.00078,0.00018,4.72216,inf,118.006,0.00122931,0.00122931,0.00122931
6,59.4905,1.39257,1.35516,1.27215,0,0,0,0,nan,nan,nan,0.00146377,0.00146377,0.00146377
7,67.7445,1.36239,1.34502,1.27552,0,0,0,0,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,75.9666,1.49394,1.39231,1.28838,0,0,0,0,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,84.5697,1.47093,1.23606,1.30257,0.01812,0.03226,0.00158,0.00042,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,92.9236,1.42724,1.24326,1.2653,0.13695,0.20968,0.07968,0.02901,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,101.195,1.37888,1.3086,1.2845,0.20617,0.25806,0.08626,0.02965,3.00587,4.93812,2.12353,0.001802,0.001802,0.001802
12,109.925,1.40589,1.19861,1.25671,0.19309,0.16129,0.07071,0.03188,3.08097,3.11332,2.5131,0.0017822,0.0017822,0.0017822
13,118.411,1.33983,1.22233,1.24531,0.42807,0.32258,0.33086,0.16253,1.9485,3.8215,1.51442,0.0017624,0.0017624,0.0017624
14,126.868,1.29219,1.14934,1.22778,0.45635,0.43548,0.37228,0.19469,1.87744,2.0754,1.54374,0.0017426,0.0017426,0.0017426
15,135.518,1.27306,1.07125,1.19903,0.31982,0.37097,0.25732,0.13736,1.78266,2.98474,1.4631,0.0017228,0.0017228,0.0017228
16,143.865,1.26187,1.11396,1.20766,0.17473,0.6129,0.22945,0.10714,2.07519,4.04687,1.6214,0.001703,0.001703,0.001703
17,152.276,1.21236,1.06602,1.17208,0.27872,0.43548,0.22393,0.10969,1.89132,4.829,1.51603,0.0016832,0.0016832,0.0016832
18,160.788,1.21263,1.08335,1.18051,0.46064,0.32258,0.31891,0.15379,1.75664,2.71297,1.36546,0.0016634,0.0016634,0.0016634
19,169.127,1.17113,1.02734,1.13356,0.63977,0.41935,0.43792,0.2542,1.60507,1.44311,1.27905,0.0016436,0.0016436,0.0016436
20,177.835,1.17319,0.99185,1.1382,0.3236,0.75806,0.42097,0.22931,1.63621,1.8254,1.26002,0.0016238,0.0016238,0.0016238
21,186.309,1.14919,0.99969,1.14056,0.62047,0.41935,0.46042,0.25118,1.59718,2.23334,1.2431,0.001604,0.001604,0.001604
22,194.721,1.17117,1.05215,1.13579,0.52988,0.43548,0.4467,0.23496,1.5417,1.36863,1.18157,0.0015842,0.0015842,0.0015842
23,203.123,1.13427,0.94296,1.10256,0.51773,0.56452,0.5599,0.30515,1.56459,1.26163,1.21554,0.0015644,0.0015644,0.0015644
24,211.937,1.20772,0.98479,1.15421,0.48481,0.5,0.43147,0.2159,1.62714,1.81532,1.34002,0.0015446,0.0015446,0.0015446
25,220.375,1.09259,0.90099,1.10398,0.59121,0.44329,0.45308,0.27855,1.47006,1.50135,1.08699,0.0015248,0.0015248,0.0015248
26,228.84,1.09799,0.90067,1.10134,0.58523,0.40323,0.43324,0.27347,1.38935,1.34979,1.14012,0.001505,0.001505,0.001505
27,237.293,1.09011,0.91846,1.12974,0.59137,0.41935,0.4412,0.27102,1.47036,1.21354,1.2245,0.0014852,0.0014852,0.0014852
28,245.702,1.07649,0.89714,1.08588,0.58795,0.5,0.54075,0.28236,1.51114,1.2503,1.1489,0.0014654,0.0014654,0.0014654
29,254.248,1.05743,0.93458,1.10071,0.3982,0.74194,0.55382,0.3037,1.34498,1.17791,1.10121,0.0014456,0.0014456,0.0014456
30,262.579,1.05239,0.87538,1.08907,0.63249,0.51613,0.57529,0.37395,1.3904,1.22947,1.14441,0.0014258,0.0014258,0.0014258
31,271.274,1.07092,0.87359,1.11009,0.57635,0.6129,0.62202,0.34977,1.50062,1.07519,1.17608,0.001406,0.001406,0.001406
32,279.805,1.05922,0.86459,1.08667,0.58023,0.53226,0.56876,0.35025,1.42643,1.09564,1.12413,0.0013862,0.0013862,0.0013862
33,288.032,1.04829,0.81341,1.07289,0.65672,0.59677,0.64709,0.39434,1.39953,0.93218,1.09252,0.0013664,0.0013664,0.0013664
34,296.652,1.10127,0.87688,1.11192,0.53849,0.6211,0.59063,0.32546,1.49008,1.01259,1.16204,0.0013466,0.0013466,0.0013466
35,305.204,1.03586,0.8217,1.08298,0.53165,0.53226,0.53997,0.31233,1.48434,1.07804,1.09489,0.0013268,0.0013268,0.0013268
36,313.574,1.06681,0.81427,1.08724,0.64943,0.56452,0.60988,0.34669,1.50788,0.9939,1.12552,0.001307,0.001307,0.001307
37,322.05,1.0141,0.83419,1.07396,0.50306,0.6695,0.59742,0.35642,1.3312,1.04676,1.06225,0.0012872,0.0012872,0.0012872
38,330.664,0.99144,0.77777,1.05026,0.64027,0.59677,0.64758,0.36647,1.40983,0.96886,1.10673,0.0012674,0.0012674,0.0012674
39,338.949,0.97884,0.79903,1.06107,0.64075,0.64516,0.64489,0.35243,1.58223,1.02873,1.24366,0.0012476,0.0012476,0.0012476
40,347.349,0.97722,0.78406,1.06438,0.5321,0.60534,0.54629,0.305,1.44429,1.12916,1.16513,0.0012278,0.0012278,0.0012278
41,355.801,0.95819,0.76806,1.04539,0.65014,0.59949,0.61425,0.3485,1.50707,1.09741,1.16933,0.001208,0.001208,0.001208
42,364.174,0.9744,0.7547,1.04591,0.58447,0.67742,0.64996,0.36328,1.525,0.96202,1.22747,0.0011882,0.0011882,0.0011882
